issue,number,result,timestamp,fetch_time_utc
20250725100010736,8,Big,,
20250725100010737,1,Small,,
20250725100010738,7,Big,,
20250725100010739,7,Big,,
20250725100010740,7,Big,,
20250725100010741,7,Big,,
20250725100010742,2,Small,,
20250725100010743,3,Small,,
20250725100010744,6,Big,,
20250725100010745,0,Small,,
20250725100010746,3,Small,,
20250725100010747,5,Big,,
20250725100010748,5,Big,,
20250725100010749,1,Small,,
20250725100010750,5,Big,,
20250725100010751,1,Small,,
20250725100010752,0,Small,,
20250725100010753,3,Small,,
20250725100010754,3,Small,,
20250725100010755,8,Big,,
20250725100010756,8,Big,,
20250725100010757,3,Small,,
20250725100010758,5,Big,,
20250725100010759,4,Small,,
20250725100010760,3,Small,,
20250725100010761,7,Big,,
20250725100010762,9,Big,,
20250725100010763,6,Big,,
20250725100010764,9,Big,,
20250725100010765,6,Big,,
20250725100010766,6,Big,,
20250725100010767,0,Small,,
20250725100010768,8,Big,,
20250725100010769,4,Small,,
20250725100010770,7,Big,,
20250725100010771,0,Small,,
20250725100010772,8,Big,,
20250725100010773,6,Big,,
20250725100010774,7,Big,,
20250725100010775,0,Small,,
20250725100010776,7,Big,,
20250725100010777,8,Big,,
20250725100010778,2,Small,,
20250725100010779,0,Small,,
20250725100010780,0,Small,,
20250725100010781,4,Small,,
20250725100010782,3,Small,,
20250725100010783,4,Small,,
20250725100010784,0,Small,,
20250725100010785,2,Small,,
20250725100010786,5,Big,,
20250725100010787,3,Small,,
20250725100010788,8,Big,,
20250725100010789,2,Small,,
20250725100010790,8,Big,,
20250725100010791,4,Small,,
20250725100010792,0,Small,,
20250725100010793,9,Big,,
20250725100010794,4,Small,,
20250725100010795,9,Big,,
20250725100010796,5,Big,,
20250725100010797,2,Small,,
20250725100010798,1,Small,,
20250725100010799,8,Big,,
20250725100010800,0,Small,,
20250725100010801,5,Big,,
20250725100010802,6,Big,,
20250725100010803,2,Small,,
20250725100010804,8,Big,,
20250725100010805,4,Small,,
20250725100010806,1,Small,,
20250725100010807,9,Big,,
20250725100010808,0,Small,,
20250725100010809,3,Small,,
20250725100010810,1,Small,,
20250725100010811,8,Big,,
20250725100010812,5,Big,,
20250725100010813,9,Big,,
20250725100010814,5,Big,,
20250725100010815,7,Big,,
20250725100010816,4,Small,,
20250725100010817,7,Big,,
20250725100010818,7,Big,,
20250725100010819,4,Small,,
20250725100010820,4,Small,,
20250725100010821,0,Small,,
20250725100010822,4,Small,,
20250725100010823,3,Small,,
20250725100010824,2,Small,,
20250725100010825,8,Big,,
20250725100010826,1,Small,,
20250725100010827,2,Small,,
20250725100010828,9,Big,,
20250725100010829,8,Big,,
20250725100010830,2,Small,,
20250725100010831,4,Small,,
20250725100010832,1,Small,,
20250725100010833,8,Big,,
20250725100010834,4,Small,,
20250725100010835,5,Big,,
20250725100010836,9,Big,,
20250725100010837,8,Big,,
20250725100010838,5,Big,,
20250725100010839,8,Big,,
20250725100010840,9,Big,,
20250725100010841,7,Big,,
20250725100010842,2,Small,,
20250725100010843,4,Small,,
20250725100010844,0,Small,,
20250725100010845,9,Big,,
20250725100010846,9,Big,,
20250725100010847,7,Big,,
20250725100010848,9,Big,,
20250725100010849,8,Big,,
20250725100010850,8,Big,,
20250725100010851,8,Big,,
20250725100010852,7,Big,,
20250725100010853,6,Big,,
20250725100010854,6,Big,,
20250725100010855,4,Small,,
20250725100010856,1,Small,,
20250725100010857,1,Small,,
20250725100010858,2,Small,,
20250725100010859,1,Small,,
20250725100010860,6,Big,,
20250725100010861,8,Big,,
20250725100010862,6,Big,,
20250725100010863,4,Small,,
20250725100010864,4,Small,,
20250725100010865,1,Small,,
20250725100010866,4,Small,,
20250725100010867,9,Big,,
20250725100010868,3,Small,,
20250725100010869,3,Small,,
20250725100010870,0,Small,,
20250725100010871,4,Small,,
20250725100010872,0,Small,,
20250725100010873,6,Big,,
20250725100010874,4,Small,,
20250725100010875,5,Big,,
20250725100010876,6,Big,,
20250725100010877,3,Small,,
20250725100010878,6,Big,,
20250725100010879,8,Big,,
20250725100010880,2,Small,,
20250725100010881,1,Small,,
20250725100010882,5,Big,,
20250725100010883,6,Big,,
20250725100010884,9,Big,,
20250725100010885,2,Small,,
20250725100010886,8,Big,,
20250725100010887,5,Big,,
20250725100010888,8,Big,,
20250725100010889,0,Small,,
20250725100010890,0,Small,,
20250725100010891,9,Big,,
20250725100010892,1,Small,,
20250725100010893,1,Small,,
20250725100010894,4,Small,,
20250725100010895,9,Big,,
20250725100010896,4,Small,,
20250725100010897,3,Small,,
20250725100010898,7,Big,,
20250725100010899,3,Small,,
20250725100010900,5,Big,,
20250725100010901,8,Big,,
20250725100010902,8,Big,,
20250725100010903,9,Big,,
20250725100010904,0,Small,,
20250725100010905,5,Big,,
20250725100010906,0,Small,,
20250725100010907,1,Small,,
20250725100010908,0,Small,,
20250725100010909,6,Big,,
20250725100010910,5,Big,,
20250725100010911,5,Big,,
20250725100010912,2,Small,,
20250725100010913,2,Small,,
20250725100010914,7,Big,,
20250725100010915,4,Small,,
20250725100010916,8,Big,,
20250725100010917,0,Small,,
20250725100010918,7,Big,,
20250725100010919,2,Small,,
20250725100010920,0,Small,,
20250725100010921,8,Big,,
20250725100010922,0,Small,,
20250725100010923,6,Big,,
20250725100010924,9,Big,,
20250725100010925,6,Big,,
20250725100010926,6,Big,,
20250725100010927,5,Big,,
20250725100010928,8,Big,,
20250725100010929,5,Big,,
20250725100010930,4,Small,,
20250725100010931,2,Small,,
20250725100010932,1,Small,,
20250725100010933,5,Big,,
20250725100010934,2,Small,,
20250725100010935,4,Small,,
20250725100010936,6,Big,,
20250725100010937,4,Small,,
20250725100010938,6,Big,,
20250725100010939,9,Big,,
20250725100010940,2,Small,,
20250725100010941,4,Small,,
20250725100010942,5,Big,,
20250725100010943,4,Small,,
20250725100010944,9,Big,,
20250725100010945,7,Big,,
20250725100010946,5,Big,,
20250725100010947,3,Small,,
20250725100010948,0,Small,,
20250725100010949,6,Big,,
20250725100010950,3,Small,,
20250725100010951,8,Big,,
20250725100010952,8,Big,,
20250725100010953,4,Small,,
20250725100010954,3,Small,,
20250725100010955,4,Small,,
20250725100010956,0,Small,,
20250725100010957,2,Small,,
20250725100010958,6,Big,,
20250725100010959,7,Big,,
20250725100010960,9,Big,,
20250725100010961,3,Small,,
20250725100010962,2,Small,,
20250725100010963,8,Big,,
20250725100010964,4,Small,,
20250725100010965,2,Small,,
20250725100010966,5,Big,,
20250725100010967,4,Small,,
20250725100010968,9,Big,,
20250725100010969,0,Small,,
20250725100010970,1,Small,,
20250725100010971,1,Small,,
20250725100010972,5,Big,,
20250725100010973,5,Big,,
20250725100010974,7,Big,,
20250725100010975,9,Big,,
20250725100010976,2,Small,,
20250725100010977,5,Big,,
20250725100010978,7,Big,,
20250725100010979,5,Big,,
20250725100010980,2,Small,,
20250725100010981,9,Big,,
20250725100010982,5,Big,,
20250725100010983,8,Big,,
20250725100010984,4,Small,,
20250725100010985,6,Big,,
20250725100010986,7,Big,,
20250725100010987,6,Big,,
20250725100010988,8,Big,,
20250725100010989,2,Small,,
20250725100010990,0,Small,,
20250725100010991,6,Big,,
20250725100010992,4,Small,,
20250725100010993,9,Big,,
20250725100010994,8,Big,,
20250725100010995,4,Small,,
20250725100010996,3,Small,,
20250725100010997,0,Small,,
20250725100010998,8,Big,,
20250725100010999,7,Big,,
20250725100011000,1,Small,,
20250725100011001,7,Big,,
20250725100011002,0,Small,,
20250725100011003,7,Big,,
20250725100011004,5,Big,,
20250725100011005,0,Small,,
20250725100011006,1,Small,,
20250725100011007,7,Big,,
20250725100011008,0,Small,,
20250725100011009,2,Small,,
20250725100011010,7,Big,,
20250725100011011,6,Big,,
20250725100011012,1,Small,,
20250725100011013,8,Big,,
20250725100011014,5,Big,,
20250725100011015,9,Big,,
20250725100011016,5,Big,,
20250725100011017,0,Small,,
20250725100011018,5,Big,,
20250725100011019,6,Big,,
20250725100011020,0,Small,,
20250725100011021,5,Big,,
20250725100011022,3,Small,,
20250725100011023,3,Small,,
20250725100011024,1,Small,,
20250725100011025,2,Small,,
20250725100011026,7,Big,,
20250725100011027,7,Big,,
20250725100011028,0,Small,,
20250725100011029,7,Big,,
20250725100011030,3,Small,,
20250725100011031,5,Big,,
20250725100011032,2,Small,,
20250725100011033,5,Big,,
20250725100011034,4,Small,,
20250725100011035,2,Small,,
20250725100011036,0,Small,,
20250725100011037,8,Big,,
20250725100011038,4,Small,,
20250725100011039,1,Small,,
20250725100011040,7,Big,,
20250725100011041,8,Big,,
20250725100011042,5,Big,,
20250725100011043,2,Small,,
20250725100011044,8,Big,,
20250725100011045,8,Big,,
20250725100011046,8,Big,,
20250725100011047,2,Small,,
20250725100011048,2,Small,,
20250725100011049,2,Small,,
20250725100011050,3,Small,,
20250725100011051,4,Small,,
20250725100011052,2,Small,,
20250725100011053,2,Small,,
20250725100011054,1,Small,,
20250725100011055,2,Small,,
20250725100011056,5,Big,,
20250725100011057,0,Small,,
20250725100011058,7,Big,,
20250725100011059,5,Big,,
20250725100011060,9,Big,,
20250725100011061,0,Small,,
20250725100011062,2,Small,,
20250725100011063,0,Small,,
20250725100011064,9,Big,,
20250725100011065,7,Big,,
20250725100011066,7,Big,,
20250725100011067,6,Big,,
20250725100011068,4,Small,,
20250725100011069,8,Big,,
20250725100011070,9,Big,,
20250725100011071,4,Small,,
20250725100011072,5,Big,,
20250725100011073,1,Small,,
20250725100011074,7,Big,,
20250725100011075,2,Small,,
20250725100011076,1,Small,,
20250725100011077,8,Big,,
20250725100011078,4,Small,,
20250725100011079,1,Small,,
20250725100011080,4,Small,,
20250725100011081,3,Small,,
20250725100011082,9,Big,,
20250725100011083,9,Big,,
20250725100011084,4,Small,,
20250725100011085,8,Big,,
20250725100011086,2,Small,,
20250725100011087,9,Big,,
20250725100011088,7,Big,,
20250725100011089,2,Small,,
20250725100011090,6,Big,,
20250725100011091,8,Big,,
20250725100011092,0,Small,,
20250725100011093,9,Big,,
20250725100011094,2,Small,,
20250725100011095,3,Small,,
20250725100011096,7,Big,,
20250725100011097,9,Big,,
20250725100011098,2,Small,,
20250725100011099,4,Small,,
20250725100011100,3,Small,,
20250725100011101,2,Small,,
20250725100011102,7,Big,,
20250725100011103,6,Big,,
20250725100011104,3,Small,,
20250725100011105,8,Big,,
20250725100011106,1,Small,,
20250725100011107,6,Big,,
20250725100011108,3,Small,,
20250725100011109,6,Big,,
20250725100011110,8,Big,,
20250725100011111,8,Big,,
20250725100011112,2,Small,,
20250725100011113,4,Small,,
20250725100011114,7,Big,,
20250725100011115,8,Big,,
20250725100011116,8,Big,,
20250725100011117,5,Big,,
20250725100011118,9,Big,,
20250725100011119,6,Big,,
20250725100011120,8,Big,,
20250725100011121,8,Big,,
20250725100011122,7,Big,,
20250725100011123,1,Small,,
20250725100011124,8,Big,,
20250725100011125,7,Big,,
20250725100011126,7,Big,,
20250725100011127,1,Small,,
20250725100011128,8,Big,,
20250725100011129,6,Big,,
20250725100011130,1,Small,,
20250725100011131,1,Small,,
20250725100011132,6,Big,,
20250725100011133,2,Small,,
20250725100011134,5,Big,,
20250725100011135,6,Big,,
20250725100011136,7,Big,,
20250725100011137,8,Big,,
20250725100011138,2,Small,,
20250725100011139,4,Small,,
20250725100011140,0,Small,,
20250725100011141,7,Big,,
20250725100011142,6,Big,,
20250725100011143,4,Small,,
20250725100011144,5,Big,,
20250725100011145,8,Big,,
20250725100011146,5,Big,,
20250725100011147,9,Big,,
20250725100011148,5,Big,,
20250725100011149,3,Small,,
20250725100011150,4,Small,,
20250725100011151,8,Big,,
20250725100011152,5,Big,,
20250725100011153,0,Small,,
20250725100011154,9,Big,,
20250725100011155,5,Big,,
20250725100011156,5,Big,,
20250725100011157,0,Small,,
20250725100011158,3,Small,,
20250725100011159,6,Big,,
20250725100011160,6,Big,,
20250725100011161,5,Big,,
20250725100011162,8,Big,,
20250725100011163,8,Big,,
20250725100011164,0,Small,,
20250725100011165,1,Small,,
20250725100011166,2,Small,,
20250725100011167,6,Big,,
20250725100011168,1,Small,,
20250725100011169,9,Big,,
20250725100011170,0,Small,,
20250725100011171,9,Big,,
20250725100011172,2,Small,,
20250725100011173,4,Small,,
20250725100011174,9,Big,,
20250725100011175,4,Small,,
20250725100011176,2,Small,,
20250725100011177,2,Small,,
20250725100011178,4,Small,,
20250725100011179,6,Big,,
20250725100011180,2,Small,,
20250725100011181,8,Big,,
20250725100011182,6,Big,,
20250725100011183,3,Small,,
20250725100011184,3,Small,,
20250725100011185,1,Small,,
20250725100011186,3,Small,,
20250725100011187,6,Big,,
20250725100011188,9,Big,,
20250725100011189,0,Small,,
20250725100011190,4,Small,,
20250725100011191,7,Big,,
20250725100011192,4,Small,,
20250725100011193,1,Small,,
20250725100011194,3,Small,,
20250725100011195,8,Big,,
20250725100011196,0,Small,,
20250725100011197,7,Big,,
20250725100011198,8,Big,,
20250725100011199,3,Small,,
20250725100011200,9,Big,,
20250725100011201,6,Big,,
20250725100011202,7,Big,,
20250725100011203,1,Small,,
20250725100011204,1,Small,,
20250725100011205,9,Big,,
20250725100011206,2,Small,,
20250725100011207,1,Small,,
20250725100011208,9,Big,,
20250725100011209,1,Small,,
20250725100011210,7,Big,,
20250725100011211,6,Big,,
20250725100011212,1,Small,,
20250725100011213,4,Small,,
20250725100011214,7,Big,,
20250725100011215,9,Big,,
20250725100011216,6,Big,,
20250725100011217,8,Big,,
20250725100011218,6,Big,,
20250725100011219,6,Big,,
20250725100011220,1,Small,,
20250725100011221,4,Small,,
20250725100011222,7,Big,,
20250725100011223,2,Small,,
20250725100011224,6,Big,,
20250725100011225,1,Small,,
20250725100011226,5,Big,,
20250725100011227,0,Small,,
20250725100011228,0,Small,,
20250725100011229,2,Small,,
20250725100011230,1,Small,,
20250725100011231,3,Small,,
20250725100011232,2,Small,,
20250725100011233,9,Big,,
20250725100011234,0,Small,,
20250725100011235,6,Big,,
20250725100011236,3,Small,,
20250725100011237,3,Small,,
20250725100011238,4,Small,,
20250725100011239,6,Big,,
20250725100011240,7,Big,,
20250725100011241,0,Small,,
20250725100011242,6,Big,,
20250725100011243,9,Big,,
20250725100011244,6,Big,,
20250725100011245,8,Big,,
20250725100011246,3,Small,,
20250725100011247,3,Small,,
20250725100011248,0,Small,,
20250725100011249,8,Big,,
20250725100011250,4,Small,,
20250725100011251,5,Big,,
20250725100011252,1,Small,,
20250725100011253,9,Big,,
20250725100011254,2,Small,,
20250725100011255,9,Big,,
20250725100011256,5,Big,,
20250725100011257,1,Small,,
20250725100011258,9,Big,,
20250725100011259,7,Big,,
20250725100011260,1,Small,,
20250725100011261,5,Big,,
20250725100011262,5,Big,,
20250725100011263,8,Big,,
20250725100011264,4,Small,,
20250725100011265,9,Big,,
20250725100011266,3,Small,,
20250725100011267,3,Small,,
20250725100011268,6,Big,,
20250725100011269,5,Big,,
20250725100011270,5,Big,,
20250725100011271,5,Big,,
20250725100011272,1,Small,,
20250725100011273,3,Small,,
20250725100011274,6,Big,,
20250725100011275,0,Small,,
20250725100011276,4,Small,,
20250725100011277,6,Big,,
20250725100011278,2,Small,,
20250725100011279,2,Small,,
20250725100011280,1,Small,,
20250725100011281,8,Big,,
20250725100011282,6,Big,,
20250725100011283,4,Small,,
20250725100011284,2,Small,,
20250725100011285,6,Big,,
20250725100011286,9,Big,,
20250725100011287,8,Big,,
20250725100011288,8,Big,,
20250725100011289,5,Big,,
20250725100011290,7,Big,,
20250725100011291,9,Big,,
20250725100011292,2,Small,,
20250725100011293,4,Small,,
20250725100011294,6,Big,,
20250725100011295,0,Small,,
20250725100011296,7,Big,,
20250725100011297,7,Big,,
20250725100011298,1,Small,,
20250725100011299,6,Big,,
20250725100011300,1,Small,,
20250725100011301,9,Big,,
20250725100011302,7,Big,,
20250725100011303,5,Big,,
20250725100011304,4,Small,,
20250725100011305,4,Small,,
20250725100011306,6,Big,,
20250725100011307,7,Big,,
20250725100011308,3,Small,,
20250725100011309,7,Big,,
20250725100011310,5,Big,,
20250725100011311,8,Big,,
20250725100011312,3,Small,,
20250725100011313,4,Small,,
20250725100011314,3,Small,,
20250725100011315,5,Big,,
20250725100011316,4,Small,,
20250725100011317,2,Small,,
20250725100011318,5,Big,,
20250725100011319,0,Small,,
20250725100011320,6,Big,,
20250725100011321,3,Small,,
20250725100011322,8,Big,,
20250725100011323,1,Small,,
20250725100011324,5,Big,,
20250725100011325,0,Small,,
20250725100011326,8,Big,,
20250725100011327,5,Big,,
20250725100011328,2,Small,,
20250725100011329,7,Big,,
20250725100011330,9,Big,,
20250725100011331,6,Big,,
20250725100011332,5,Big,,
20250725100011333,3,Small,,
20250725100011334,6,Big,,
20250725100011335,0,Small,,
20250725100011336,4,Small,,
20250725100011337,0,Small,,
20250725100011338,0,Small,,
20250725100011339,4,Small,,
20250725100011340,9,Big,,
20250725100011341,0,Small,,
20250725100011342,3,Small,,
20250725100011343,7,Big,,
20250725100011344,4,Small,,
20250725100011345,4,Small,,
20250725100011346,4,Small,,
20250725100011347,2,Small,,
20250725100011348,9,Big,,
20250725100011349,6,Big,,
20250725100011350,1,Small,,
20250725100011351,9,Big,,
20250725100011352,0,Small,,
20250725100011353,6,Big,,
20250725100011354,0,Small,,
20250725100011355,3,Small,,
20250725100011356,8,Big,,
20250725100011357,8,Big,,
20250725100011358,8,Big,,
20250725100011359,0,Small,,
20250725100011360,7,Big,,
20250725100011361,1,Small,,
20250725100011362,6,Big,,
20250725100011363,5,Big,,
20250725100011364,9,Big,,
20250725100011365,5,Big,,
20250725100011366,4,Small,,
20250725100011367,2,Small,,
20250725100011368,9,Big,,
20250725100011369,9,Big,,
20250725100011370,1,Small,,
20250725100011371,2,Small,,
20250725100011372,4,Small,,
20250725100011373,2,Small,,
20250725100011374,1,Small,,
20250725100011375,3,Small,,
20250725100011376,0,Small,,
20250725100011377,0,Small,,
20250725100011378,5,Big,,
20250725100011379,3,Small,,
20250725100011380,0,Small,,
20250725100011381,2,Small,,
20250725100011382,1,Small,,
20250725100011383,7,Big,,
20250725100011384,7,Big,,
20250725100011385,0,Small,,
20250725100011386,7,Big,,
20250725100011387,2,Small,,
20250725100011388,0,Small,,
20250725100011389,8,Big,,
20250725100011390,5,Big,,
20250725100011391,4,Small,,
20250725100011392,3,Small,,
20250725100011393,8,Big,,
20250725100011394,7,Big,,
20250725100011395,0,Small,,
20250725100011396,9,Big,,
20250725100011397,7,Big,,
20250725100011398,7,Big,,
20250725100011399,9,Big,,
20250725100011400,9,Big,,
20250725100011401,9,Big,,
20250725100011402,9,Big,,
20250725100011403,5,Big,,
20250725100011404,7,Big,,
20250725100011405,5,Big,,
20250725100011406,2,Small,,
20250725100011407,1,Small,,
20250725100011408,4,Small,,
20250725100011409,3,Small,,
20250725100011410,1,Small,,
20250725100011411,5,Big,,
20250725100011412,3,Small,,
20250725100011413,0,Small,,
20250725100011414,0,Small,,
20250725100011415,3,Small,,
20250725100011416,0,Small,,
20250725100011417,1,Small,,
20250725100011418,2,Small,,
20250725100011419,5,Big,,
20250725100011420,6,Big,,
20250725100011421,9,Big,,
20250725100011422,8,Big,,
20250725100011423,1,Small,,
20250725100011424,0,Small,,
20250725100011425,8,Big,,
20250725100011426,0,Small,,
20250725100011427,5,Big,,
20250725100011428,4,Small,,
20250725100011429,5,Big,,
20250725100011430,2,Small,,
20250725100011431,3,Small,,
20250725100011432,8,Big,,
20250725100011433,0,Small,,
20250725100011434,8,Big,,
20250725100011435,3,Small,,
20250725100011436,6,Big,,
20250725100011437,6,Big,,
20250725100011438,8,Big,,
20250725100011439,4,Small,,
20250725100011440,8,Big,,
20250726100010001,6,Big,,
20250726100010002,8,Big,,
20250726100010003,0,Small,,
20250726100010004,0,Small,,
20250726100010005,8,Big,,
20250726100010006,5,Big,,
20250726100010007,4,Small,,
20250726100010008,7,Big,,
20250726100010009,5,Big,,
20250726100010010,7,Big,,
20250726100010011,4,Small,,
20250726100010012,7,Big,,
20250726100010013,3,Small,,
20250726100010014,7,Big,,
20250726100010015,1,Small,,
20250726100010016,2,Small,,
20250726100010017,7,Big,,
20250726100010018,2,Small,,
20250726100010019,3,Small,,
20250726100010020,4,Small,,
20250726100010021,4,Small,,
20250726100010022,7,Big,,
20250726100010023,8,Big,,
20250726100010024,4,Small,,
20250726100010025,9,Big,,
20250726100010026,2,Small,,
20250726100010027,2,Small,,
20250726100010028,5,Big,,
20250726100010029,5,Big,,
20250726100010030,0,Small,,
20250726100010031,3,Small,,
20250726100010032,3,Small,,
20250726100010033,9,Big,,
20250726100010034,3,Small,,
20250726100010035,4,Small,,
20250726100010036,8,Big,,
20250726100010037,2,Small,,
20250726100010038,2,Small,,
20250726100010039,1,Small,,
20250726100010040,2,Small,,
20250726100010041,3,Small,,
20250726100010042,0,Small,,
20250726100010043,6,Big,,
20250726100010044,7,Big,,
20250726100010045,4,Small,,
20250726100010046,1,Small,,
20250726100010047,6,Big,,
20250726100010048,6,Big,,
20250726100010049,5,Big,,
20250726100010050,9,Big,,
20250726100010051,6,Big,,
20250726100010052,4,Small,,
20250726100010053,1,Small,,
20250726100010054,2,Small,,
20250726100010055,8,Big,,
20250726100010056,4,Small,,
20250726100010057,5,Big,,
20250726100010058,1,Small,,
20250726100010059,5,Big,,
20250726100010060,9,Big,,
20250726100010061,2,Small,,
20250726100010062,5,Big,,
20250726100010063,4,Small,,
20250726100010064,9,Big,,
20250726100010065,2,Small,,
20250726100010066,6,Big,,
20250726100010067,9,Big,,
20250726100010068,8,Big,,
20250726100010069,5,Big,,
20250726100010070,1,Small,,
20250726100010071,5,Big,,
20250726100010072,6,Big,,
20250726100010073,5,Big,,
20250726100010074,3,Small,,
20250726100010075,5,Big,,
20250726100010076,6,Big,,
20250726100010077,7,Big,,
20250726100010078,9,Big,,
20250726100010079,7,Big,,
20250726100010080,3,Small,,
20250726100010081,1,Small,,
20250726100010082,3,Small,,
20250726100010083,5,Big,,
20250726100010084,6,Big,,
20250726100010085,6,Big,,
20250726100010086,5,Big,,
20250726100010087,7,Big,,
20250726100010088,0,Small,,
20250726100010089,8,Big,,
20250726100010090,3,Small,,
20250726100010091,4,Small,,
20250726100010092,7,Big,,
20250726100010093,4,Small,,
20250726100010094,2,Small,,
20250726100010095,3,Small,,
20250726100010096,5,Big,,
20250726100010097,6,Big,,
20250726100010098,6,Big,,
20250726100010099,0,Small,,
20250726100010100,2,Small,,
20250726100010101,7,Big,,
20250726100010102,5,Big,,
20250726100010103,0,Small,,
20250726100010104,0,Small,,
20250726100010105,0,Small,,
20250726100010106,3,Small,,
20250726100010107,8,Big,,
20250726100010108,8,Big,,
20250726100010109,4,Small,,
20250726100010110,8,Big,,
20250726100010111,9,Big,,
20250726100010112,5,Big,,
20250726100010113,5,Big,,
20250726100010114,4,Small,,
20250726100010115,3,Small,,
20250726100010116,9,Big,,
20250726100010117,2,Small,,
20250726100010118,4,Small,,
20250726100010119,8,Big,,
20250726100010120,6,Big,,
20250726100010121,0,Small,,
20250726100010122,7,Big,,
20250726100010123,2,Small,,
20250726100010124,3,Small,,
20250726100010125,8,Big,,
20250726100010126,3,Small,,
20250726100010127,1,Small,,
20250726100010128,9,Big,,
20250726100010129,3,Small,,
20250726100010130,8,Big,,
20250726100010131,7,Big,,
20250726100010132,3,Small,,
20250726100010133,0,Small,,
20250726100010134,9,Big,,
20250726100010135,6,Big,,
20250726100010136,8,Big,,
20250726100010137,7,Big,,
20250726100010138,1,Small,,
20250726100010139,4,Small,,
20250726100010140,0,Small,,
20250726100010141,4,Small,,
20250726100010142,5,Big,,
20250726100010143,3,Small,,
20250726100010144,4,Small,,
20250726100010145,7,Big,,
20250726100010146,5,Big,,
20250726100010147,9,Big,,
20250726100010148,0,Small,,
20250726100010149,4,Small,,
20250726100010150,3,Small,,
20250726100010151,6,Big,,
20250726100010152,6,Big,,
20250726100010153,5,Big,,
20250726100010154,9,Big,,
20250726100010155,9,Big,,
20250726100010156,6,Big,,
20250726100010157,3,Small,,
20250726100010158,7,Big,,
20250726100010159,0,Small,,
20250726100010160,9,Big,,
20250726100010161,6,Big,,
20250726100010162,8,Big,,
20250726100010163,0,Small,,
20250726100010164,1,Small,,
20250726100010165,5,Big,,
20250726100010166,2,Small,,
20250726100010167,2,Small,,
20250726100010168,9,Big,,
20250726100010169,7,Big,,
20250726100010170,5,Big,,
20250726100010171,9,Big,,
20250726100010172,8,Big,,
20250726100010173,9,Big,,
20250726100010174,7,Big,,
20250726100010175,8,Big,,
20250726100010176,5,Big,,
20250726100010177,9,Big,,
20250726100010178,6,Big,,
20250726100010179,3,Small,,
20250726100010180,9,Big,,
20250726100010181,1,Small,,
20250726100010182,4,Small,,
20250726100010183,4,Small,,
20250726100010184,1,Small,,
20250726100010185,4,Small,,
20250726100010186,0,Small,,
20250726100010187,2,Small,,
20250726100010188,5,Big,,
20250726100010189,2,Small,,
20250726100010190,9,Big,,
20250726100010191,0,Small,,
20250726100010192,4,Small,,
20250726100010193,5,Big,,
20250726100010194,1,Small,,
20250726100010195,2,Small,,
20250726100010196,7,Big,,
20250726100010197,9,Big,,
20250726100010198,8,Big,,
20250726100010199,5,Big,,
20250726100010200,8,Big,,
20250726100010201,5,Big,,
20250726100010202,9,Big,,
20250726100010203,7,Big,,
20250726100010204,3,Small,,
20250726100010205,6,Big,,
20250726100010206,0,Small,,
20250726100010207,6,Big,,
20250726100010208,8,Big,,
20250726100010209,9,Big,,
20250726100010210,8,Big,,
20250726100010211,9,Big,,
20250726100010212,9,Big,,
20250726100010213,8,Big,,
20250726100010214,8,Big,,
20250726100010215,6,Big,,
20250726100010216,6,Big,,
20250726100010217,6,Big,,
20250726100010218,5,Big,,
20250726100010219,1,Small,,
20250726100010220,8,Big,,
20250726100010221,6,Big,,
20250726100010222,1,Small,,
20250726100010223,1,Small,,
20250726100010224,7,Big,,
20250726100010225,1,Small,,
20250726100010226,1,Small,,
20250726100010227,6,Big,,
20250726100010228,1,Small,,
20250726100010229,7,Big,,
20250726100010230,4,Small,,
20250726100010231,1,Small,,
20250726100010232,0,Small,,
20250726100010233,6,Big,,
20250726100010234,2,Small,,
20250726100010235,4,Small,,
20250726100010236,4,Small,,
20250726100010237,9,Big,,
20250726100010238,7,Big,,
20250726100010239,5,Big,,
20250726100010240,8,Big,,
20250726100010241,3,Small,,
20250726100010242,1,Small,,
20250726100010243,2,Small,,
20250726100010244,4,Small,,
20250726100010245,2,Small,,
20250726100010246,2,Small,,
20250726100010247,8,Big,,
20250726100010248,3,Small,,
20250726100010249,3,Small,,
20250726100010250,8,Big,,
20250726100010251,7,Big,,
20250726100010252,2,Small,,
20250726100010253,7,Big,,
20250726100010254,0,Small,,
20250726100010255,2,Small,,
20250726100010256,5,Big,,
20250726100010257,3,Small,,
20250726100010258,2,Small,,
20250726100010259,5,Big,,
20250726100010260,8,Big,,
20250726100010261,5,Big,,
20250726100010262,7,Big,,
20250726100010263,7,Big,,
20250726100010264,5,Big,,
20250726100010265,4,Small,,
20250726100010266,0,Small,,
20250726100010267,7,Big,,
20250726100010268,3,Small,,
20250726100010269,0,Small,,
20250726100010270,5,Big,,
20250726100010271,0,Small,,
20250726100010272,8,Big,,
20250726100010273,5,Big,,
20250726100010274,5,Big,,
20250726100010275,7,Big,,
20250726100010276,3,Small,,
20250726100010277,5,Big,,
20250726100010278,3,Small,,
20250726100010279,2,Small,,
20250726100010280,5,Big,,
20250726100010281,0,Small,,
20250726100010282,3,Small,,
20250726100010283,4,Small,,
20250726100010284,6,Big,,
20250726100010285,3,Small,,
20250726100010286,4,Small,,
20250726100010287,0,Small,,
20250726100010288,5,Big,,
20250726100010289,3,Small,,
20250726100010290,3,Small,,
20250726100010291,1,Small,,
20250726100010292,9,Big,,
20250726100010293,5,Big,,
